,text,favourite_count,retweet_count,created_at
149,"RT @lapublichealth: Getting Vaccinated in L.A. County is Easier Than Ever - 
2,361 New Confirmed Cases of COVID-19 in Los Angeles County an…",0,22,2021-08-02 23:59:32
150,Lindsey Graham Possibly Exposed Joe Manchin's Boat Party to COVID-19 https://t.co/HKRWcYzikk,3,5,2021-08-02 23:59:32
151,RT @ChuckCallesto: BREAKING REPORT:  74% of Covid-19 Cases in “Cape Cod Cluster Outbreak” Were Fully Vaccinated...,0,2700,2021-08-02 23:59:31
152,"RT @DillerAwards: “They said that a teenager couldn’t have possibly created the site... and I did.” 2021 Awardee Kelly Danielpour, founder…",0,3,2021-08-02 23:59:31
153,"RT @SethAbramson: BUSINESS INSIDER: Senator Ron Johnson (R-WI) Would Support Vaccine Mandate for An ""Incredibly Deadly"" Virus—But Not COVID…",0,514,2021-08-02 23:59:31
154,RT @ChuckCallesto: BREAKING REPORT:  74% of Covid-19 Cases in “Cape Cod Cluster Outbreak” Were Fully Vaccinated...,0,2700,2021-08-02 23:59:31
155,RT @WFLA: 'What are you waiting for?': Nikki Fried says Gov. DeSantis needs to issue an emergency order for COVID-19 https://t.co/7MTKDCl9n…,0,297,2021-08-02 23:59:31
156,"RT @Koreaboo: Fans Celebrate As TREASURE’s Doyoung and Junghwan Make Their First Public Appearance Since COVID-19 Diagnosis

https://t.co/C…",0,2359,2021-08-02 23:59:30
157,"RT @SethAbramson: BUSINESS INSIDER: Senator Ron Johnson (R-WI) Would Support Vaccine Mandate for An ""Incredibly Deadly"" Virus—But Not COVID…",0,514,2021-08-02 23:59:30
158,"RT @mjrowland68: 'At least six videos from Sky News Australia hosts Alan Jones, Rowan Dean and Rita Panahi have been deleted for violating…",0,312,2021-08-02 23:59:30
159,RT @BNODesk: BREAKING: 70% of American adults at least partially vaccinated against COVID-19,0,275,2021-08-02 23:59:30
160,"RT @joshrogin: New congressional report says covid-19 likely emerged in Wuhan in SEPTEMBER 2019, not December https://t.co/0ZDnggrIBv by me…",0,632,2021-08-02 23:59:30
161,RT @christufton: Got your COVID-19 vaccine? Then repost this image! Show the world that you are committed to protecting lives and ending th…,0,467,2021-08-02 23:59:29
162,RT @tplohetski: BREAKING: Austin health officials say the city has now crossed into Stage 5 risk for COVID-19 spread.,0,2821,2021-08-02 23:59:29
163,"RT @CP24: Summer camp in Muskoka district shuts amid COVID-19 outbreak
https://t.co/zlvwnYh3Ju",0,127,2021-08-02 23:59:29
